Proposal Number,Project number,Account Name,Opportunity Name,Confidence,Stage,Probability (%),Close Date,Carnet Assignment,Date of Carnet Assignment,Durée du Projet (Nb. de semaines),Nb. Hrs. Atelier (Sans Contingence),Nb. Hrs. Élec. (Sans Contingence,Nb. Hrs. Gestion,Nb. Hrs. Logiciel (Sans Contingence),Nb. Hrs. Mec. (Sans Contingence),Nb. Hrs. Procédé (Sans Contingence),Nb. Hrs. RC (Sans Contingence),Nb. Hrs. Robot (Sans Contingence),Main Process Type,Secondary Process Type,Third Process Type,SharePoint,Type de Système(s) Proposé(s)
4815,,Lisi (Marmande),Ajout Orbitale Lisi Marmande R2,100% Closed Won,Closed Won,100,18/07/2017,75% Negotiate/Review ou Projet soumis au calcul de R.O.I.,14/08/2017,,,0,20,0,0,136,0,0,Polishing Non-Attribué,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04815&v=search"" target=""_blank"">SharePoint Reference</a>",
5309,,AV&R (Démos Client),Tests Lisi Polissage 2 ref,100% Closed Won,Closed Won,100,8/12/2017,90% Verbal Agreement ou R.O.I. validé par DODE,12/12/2017,,,,,,,,,,Polishing Non-Attribué,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05309&v=search"" target=""_blank"">SharePoint Reference</a>",
5388,C-01988,Lisi (Marmande),Garantie - One (1) GE9x Blades Robotic Profiling System R7,100% Closed Won,Closed Won,100,29/01/2018,90% Verbal Agreement ou R.O.I. validé par DODE,15/01/2018,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05388&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1988,Lisi (Marmande),One (1) GE9x Blades Robotic Profiling System R7,100% Closed Won,Closed Won,100,29/01/2018,90% Verbal Agreement ou R.O.I. validé par DODE,15/01/2018,26,280,324,408,158,478,744,0,216,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1988&v=search"" target=""_blank"">SharePoint Reference</a>",BF-X 200-i (Système de Profilage Simple)
4996,,Safran Helicopter Engines (Bordes),Étude - Polissage Aubes HVOF - R5,100% Closed Won,Closed Won,100,16/10/2018,,14/05/2018,32,,0,165,0,96,856,0,16,Controlled Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04996&v=search"" target=""_blank"">SharePoint Reference</a>",Étude
5668,,Lisi (Marmande),Étude  - Polissage BA GE9X,100% Closed Won,Closed Won,100,14/02/2019,90% Verbal Agreement ou R.O.I. validé par DODE,4/3/2019,11,16,0,28,0,4,188,0,4,Cosmetic Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05668&v=search"" target=""_blank"">SharePoint Reference</a>",Étude
5317,,Lisi (Rzeszow),Développement procédé controlled polishing,100% Closed Won,Closed Won,100,11/4/2019,90% Verbal Agreement ou R.O.I. validé par DODE,25/03/2019,10,0,0,30,0,18,234,0,0,Controlled Polishing,Profiling,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05317&v=search"" target=""_blank"">SharePoint Reference</a>",Étude
5667,,Safran Aircraft Engines (Gennevilliers),Étude - Profilage BA Leap R2,100% Closed Won,Closed Won,100,11/7/2019,90% Verbal Agreement ou R.O.I. validé par DODE,3/6/2019,8,18,0,35,0,12,124,0,8,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05667&v=search"" target=""_blank"">SharePoint Reference</a>",Étude
5669,,Lisi (Marmande),Une (1) cellule de polissage BA GE9X R4,90%  Verbal or written agreement,P.O. en Acceptation,95,31/07/2019,90% Verbal Agreement ou R.O.I. validé par DODE,5/8/2019,32,250,239,347,0,400,380,80,292,Cosmetic Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05669&v=search"" target=""_blank"">SharePoint Reference</a>",Système de Polissage de B.A.
5909,,Safran Aero Boosters (Herstal),Développement option tri-blend,75% Choosen,Develop Fixed Price Proposal,50,29/08/2019,,,,,,,,,,,,Tri-Blend,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05909&v=search"" target=""_blank"">SharePoint Reference</a>",Étude
5932,,Safran Aero Boosters (Herstal),Profilage de 1000 LPC Leap (MRL6),75% Choosen,Proposal Submitted,60,6/9/2019,,,12,2,0,43,24,26,252,0,16,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05932&v=search"" target=""_blank"">SharePoint Reference</a>",Étude
5666,,Lisi (Rzeszow),"Two (2) ""COMBI"" Robotic Polishing and Profiling Systems - R6",75% Choosen,Proposal Submitted,60,27/09/2019,,,27,678,233,511,0,312,724,128,322,Controlled Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05666&v=search"" target=""_blank"">SharePoint Reference</a>",BF-X 200-c (Système COMBI (Polissage & Profilage))
4491,,Airfoils Advanced Solutions,Étude de tip blending HPC GE90,75% Choosen,Go/No-Go,10,1/10/2019,,,,0,0,3,0,0,80,0,0,Weld & A.M. Blending,Cosmetic Polishing,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04491&v=search"" target=""_blank"">SharePoint Reference</a>",Étude
5819,,Di Matteo,Une (1) cellule de pin blending,10% Project identified,Go/No-Go,10,11/10/2019,,,,,,,,,,,,Pin Blending,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05819&v=search"" target=""_blank"">SharePoint Reference</a>",Système Custom
5768,,Mecafi (Châtellerault),Deux (2) cellules de polissage et ébavurage OGV,30% Preliminary analysis,Go/No-Go,10,15/11/2019,,,,,,,,,,,,Cosmetic Polishing,Deburring,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05768&v=search"" target=""_blank"">SharePoint Reference</a>",Système Custom
5499,,Safran Aircraft Engines (Saint Quentin),Etude - Reprofilage BA Leap,10% Project identified,Opportunity GO,15,29/11/2019,,,,,,,,,,,,RE-Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05499&v=search"" target=""_blank"">SharePoint Reference</a>",Étude
5874,,Lisi (Rzeszow),Option Tri-blend,75% Choosen,Go/No-Go,10,29/11/2019,,,,,,,,,,,,Tri-Blend,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05874&v=search"" target=""_blank"">SharePoint Reference</a>",Étude
5873,,Lisi (Bologne),Option Tri-blend,75% Choosen,Opportunity GO,15,29/11/2019,,,,,,,,,,,,Tri-Blend,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05873&v=search"" target=""_blank"">SharePoint Reference</a>",Étude
5904,,Lisi (Parthenay),Une (1) cellule de profilage classe F,60% Short listed,Opportunity GO,15,2/12/2019,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05904&v=search"" target=""_blank"">SharePoint Reference</a>",BF-X 200-i (Système de Profilage Simple)
